INFO 2025-03-13 13:52:51,130 autoreload Watching for file changes with StatReloader
INFO 2025-03-13 13:53:43,243 autoreload Watching for file changes with StatReloader
INFO 2025-03-13 14:11:20,115 autoreload Watching for file changes with StatReloader
WARNING 2025-03-13 14:11:24,605 log Not Found: /
WARNING 2025-03-13 14:11:24,606 basehttp "GET / HTTP/1.1" 404 3515
WARNING 2025-03-13 14:11:25,322 log Not Found: /favicon.ico
WARNING 2025-03-13 14:11:25,323 basehttp "GET /favicon.ico HTTP/1.1" 404 3566
INFO 2025-03-13 14:11:44,939 basehttp "GET /api/docs/ HTTP/1.1" 200 4644
INFO 2025-03-13 14:11:49,058 basehttp "GET /api/schema/ HTTP/1.1" 200 305429
WARNING 2025-03-13 14:12:29,416 log Not Found: /
WARNING 2025-03-13 14:12:29,418 basehttp "GET / HTTP/1.1" 404 3515
INFO 2025-03-13 14:12:54,301 basehttp "GET /api/schema/ HTTP/1.1" 200 140442
INFO 2025-03-13 14:17:55,311 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-03-13 14:17:55,363 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4240
INFO 2025-03-13 14:17:55,843 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-03-13 14:17:55,844 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2025-03-13 14:17:55,854 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-03-13 14:17:55,860 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2025-03-13 14:17:55,861 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-03-13 14:17:55,863 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2025-03-13 14:17:55,865 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-03-13 14:18:00,771 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-03-13 14:18:00,865 basehttp "GET /admin/ HTTP/1.1" 200 5410
INFO 2025-03-13 14:18:00,888 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-03-13 14:18:00,950 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-03-13 14:18:00,950 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-03-13 14:18:21,266 basehttp "GET /admin/ HTTP/1.1" 200 5410
INFO 2025-03-13 14:23:20,670 autoreload Watching for file changes with StatReloader
INFO 2025-03-13 14:23:27,474 basehttp "GET /admin/ HTTP/1.1" 200 19319
INFO 2025-03-13 14:23:27,495 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-03-13 14:23:27,499 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-03-13 14:23:27,499 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-03-13 14:23:27,499 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-03-13 14:23:27,500 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-03-13 14:23:27,501 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-03-13 14:23:27,652 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-03-13 14:23:27,654 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-03-13 14:23:27,654 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-03-13 14:23:59,697 basehttp "GET /admin/accounts/user/ HTTP/1.1" 200 22036
INFO 2025-03-13 14:23:59,825 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 8985
INFO 2025-03-13 14:24:00,298 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-03-13 14:24:00,300 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-03-13 14:24:00,306 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-03-13 14:24:00,320 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-03-13 14:24:00,328 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-03-13 14:24:00,332 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-03-13 14:24:00,333 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-03-13 14:24:00,335 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9097
